,Title,Date,Category
0,"성윤모 장관 ""산업지능화는 전 산업 생존 전략""",2019.12.19,2
1,'제9회 산업기술보호의 날' 개최…보안담당자 500명 참석,2019.11.05,2
2,"홍남기 ""100+α 소재·부품·장비 핵심전략품목 공급망 안정성 확보""(종합)",2019.10.11,2
3,"文대통령 ""자유·공정무역, 정치 보복에 흔들…우리경제 스스로 지켜야""",2019.08.28,2
4,"靑, 대통령 전용차 포함 수소차 5대 도입…文대통령 오늘 첫 승차",2019.08.27,2
5,'제16회 자동차의 날' 기념식 개최…서보신 현대車 사장 '은탑' 수상,2019.05.10,2
6,"문 대통령 ""2030년까지 시스템반도체 파운드리 세계 1위…종합반도체 강국 도약""",2019.04.30,2
7,"성윤모 장관 ""내년 수소車 4000대 보급, 2022년 충전소 310개 구축""",2018.12.11,2
8,"산업부, '2018 엔지니어링 주간 행사' 개최",2018.10.18,2
9,"성윤모 산업부 장관 ""제조업 기반 혁신속도 높일 것""",2018.09.27,2
10,"[주목 이법안]천정배 ""재벌, 합병으로 부당승계 차단"" 법안 발의",2018.07.31,2
11,"문 대통령 ""슬로바키아, 한국 원전 선택하면 실망하지 않을 것""",2018.04.10,2
12,"문 대통령, 슬로바키아 대통령과 정상회담…손경식·윤부근 등 참석",2018.04.10,2
13,국회의장 비서실장에 황열헌 전 문화일보 편집국장,2017.11.02,2
14,[2017국감]30대기업 유보금 652조…2년새 2배 늘어,2017.10.27,2
15,"""법인세 상위 10대 기업, 세금감면 42% 차지""",2017.06.02,2
16,"""청와대에 꼭 필요한 보좌관은 소통 전문가""",2016.11.04,2
17,금탑산업훈장에 이재하 삼보모터스 회장·손동창 퍼시스 회장,2016.03.16,2
18,"현대카드·LG화학 등 23곳 ""스펙보다 능력중심""…정부와 MOU",2015.10.06,2
19,"산업부, 자동차 업계와 FTA 원산지 규정 논의",2015.06.19,2
20,"제12회 자동차의날, 손기창 경창산업 회장 은탑산업훈장 수상",2015.05.12,2
21,"기술표준원, 17개 신기술 인증 선정",2015.04.24,2
22,"최경환 호, '국민에 돈 쥐여주기' 올인",2015.03.30,2
23,"현대차 등 주요 대기업 21개사, 올 상반기 신입 5749명 뽑는다",2015.03.25,2
24,'세금폭탄' 피하는 현대차 한전부지…호텔은 정관 추가해야,2015.02.16,2
25,삼성電·현대車 등 17개사 국내에 34조원 투자한다,2015.02.11,2
26,"정부, 車 중소·중견 부품업체 육성 팔걷었다",2014.04.29,2
27,"성윤모 장관 ""산업지능화는 전 산업 생존 전략""",2019.12.19,3
28,"조성욱 공정위원장 ""대·중소기업 상생협력은 '시혜' 아닌 '생존' 문제""",2019.12.13,3
29,'제9회 산업기술보호의 날' 개최…보안담당자 500명 참석,2019.11.05,3
30,"""계속 오르는 차보험료, '순정부품' 폭리 때문…약관 개정해야""",2019.10.22,3
31,"홍남기 ""100+α 소재·부품·장비 핵심전략품목 공급망 안정성 확보""(종합)",2019.10.11,3
32,2분기 연속 최고치…식을줄 모르는 해외직접투자,2019.09.27,3
33,동반성장지수 中企체감도 '하락'…펫산업 적합업종 '비권고'(종합),2019.06.27,3
34,삼성전자 등 동반성장 '최우수'…中企체감도 '하락',2019.06.27,3
35,"[일문일답]공정위 ""현대차 총수 정몽구 지정 전 건강소견서 받아""",2019.05.15,3
36,'제16회 자동차의 날' 기념식 개최…서보신 현대車 사장 '은탑' 수상,2019.05.10,3
37,"인천ICIA교육원, 청년들의 IT취업을 위해 다수 IT기업과 협약 체결",2019.04.29,3
38,대기업 25% 실적 줄었는데 배당 늘렸다…배당 둘러싼 '온도 차'(종합),2019.03.23,3
39,기업 곳간을 비는데 '배당 압박'…미래 투자 vs 주주가치 제고,2019.03.23,3
40,상승대로 올라탄 수소차 관련주…두달새 200% 이상 오르기도,2019.01.18,3
41,'지상 최대 가전쇼' 핫 키워드는 5G·로봇·TV·AI,2019.01.04,3
42,"고용부vs경영계, 최저임금 쟁점 6가지",2018.12.22,3
43,"이재갑 ""고액연봉에도 최저임금 위반…임금체계 개편 시정기간 줄 것""",2018.12.20,3
44,"날세운 정부-재계, 최저임금 갈등 깊어진다",2018.12.19,3
45,"성윤모 장관 ""내년 수소車 4000대 보급, 2022년 충전소 310개 구축""",2018.12.11,3
46,"초봉 5000만원 현대모비스, 최저임금 위반…시정지시",2018.12.10,3
47,"검찰, 공정위 현대모비스 '밀어내기' 고발 불기소 결정",2018.11.29,3
48,[단독] 중기유통센터 정규직 전환 출자사 설립…내년 1월 출범,2018.11.20,3
49,"산업부, '2018 엔지니어링 주간 행사' 개최",2018.10.18,3
50,2018 DJSI 월드 지수 韓기업 20곳 편입…지난해 대비 3곳 줄어,2018.09.13,3
51,포천 500대 韓 기업 16곳…SK하이닉스·KB금융·CJ도 진입,2018.07.20,3
52,"설비투자 쓸 돈, 상당수 주주배당으로 빠졌다",2018.07.11,3
53,"中企협력재단·유통센터, '동반성장몰' 활성화…“판로지원 협약”",2018.07.05,3
54,"산업부, 美 자동차 232조 발동 관련 민관간담회 개최",2018.05.24,3
55,"엘리엇, 현대자동차에 '집중투표제' 요구",2018.04.25,3
56,"엘리엇, 현대차·현대모비스 합병안 제안",2018.04.23,3
57,"[단독]대만 푸본생명, 현대라이프생명 최대주주에 오른다",2018.04.20,3
58,현대차도 지배구조 개선…이젠 삼성 차례,2018.03.29,3
59,"[단독]현대차그룹, 현대라이프생명 경영권 유지한다",2018.03.29,3
60,"한전, '국제표준 기반 VGI 시스템' 공개",2018.03.29,3
61,"지배구조 개선 나선 현대차…공정위도 ""긍정적""",2018.03.28,3
62,현대라이프생명 유상증자에 현대모비스 빠진다,2018.03.28,3
63,현대모비스 밀어내기에 과징금 5억…前대표·법인 검찰고발,2018.02.08,3
64,[주간경제전망]12월 국제수지 발표…中 여행수지 개선됐을까,2018.02.04,3
65,"[아시아경제TV]코스피·코스닥, 외국인·기관 동반매수세에 상승마감",2018.01.23,3
66,"[아시아경제TV] 코스피·코스닥, 외국인 순매도에 동반 하락",2018.01.22,3
67,"김동연, 현대차 방문해 '상생' 강조…""협력사 최저임금 신경써달라""",2018.01.17,3
68,"정의선 부회장 만나는 김동연 부총리…""혁신성장 지원 확대""",2018.01.17,3
69,자율주행 택시·길 안내 로봇…스마트시티가 온다,2018.01.05,3
70,"김범기 라디안 대표, 조선대서 창업 특강",2017.12.06,3
71,"'사드'로 연기된 주중 한국기업 채용博, 오늘 상해서 열려",2017.12.01,3
72,[트럼프發 세금폭탄]투자요구 들어줬더니 이번엔 稅폭탄…아메리카 퍼스트의 저주,2017.11.30,3
73,"공정위 철퇴 맞은 현대모비스…""잘못된 거래관행 개선하겠다""",2017.11.26,3
74,"공정위, 결국 현대모비스 동의의결 개시 않기로",2017.11.26,3
75,"현대모비스, 3분기 영업익 25% 급감…5444억(상보)",2017.10.30,3
76,"현대모비스, 3분기 영업익 5444억원...전년比 25%↓(1보)",2017.10.30,3
77,"정의선 현대차 부회장, 모빌아이 창업자와 면담…자율주행기술 협력",2017.10.17,3
78,"공정위, 현대모비스 동의의결 개시신청 심의…10월 심의속개",2017.09.11,3
79,[제 발등찍는 G2]'성공적' 사드보복 …이면엔 생계위협받는 中근로자들,2017.09.05,3
