,Title,Date,Category
0,[팩트체크] 일상생활에서 'N95 마스크'가 코로나19 예방에 더 유리할까,2020.02.18,2
1,[2019 국감]가짜석유·품질부적합 주유소 기승…SK·GS 등 대기업 80% 이상,2019.10.15,2
2,알뜰주유소 6차년도 유류공급사 SK에너지·S-Oil 선정,2019.08.01,2
3,"문 대통령, 사우디 왕세자와 에쓰오일 공장 준공식 참석",2019.06.26,2
4,"문 대통령, 푸틴과 28일 밤 10시45분 정상회담…시진핑은 27일 오후 5시 반",2019.06.26,2
5,"문 대통령 ""북미협상 핵심은 '비핵화의 되돌릴 수 없는 단계' 결정하는 것""(종합)",2019.06.26,2
6,"文대통령 ""미래 공동번영·상생 기대""…사우디 왕세자 ""韓, '형제의 관계'"" 우호관계 강조(종합)",2019.06.26,2
7,석유왕자 만난 재계총수들,2019.06.26,2
8,"가스公, 中企 말레이시아 시장 진출 지원",2019.06.18,2
9,"시진핑, 중국 역대 주석 중 가장 짧은 1박 2일 방북",2019.06.18,2
10,"자유조선, 김일성·김정일 초상화 박살 ""신격화 타도한다""",2019.03.21,2
11,"석유화학업계, 2035년까지 14.5조 설비투자…1700명 규모 일자리 창출",2018.12.03,2
12,동아시아 11개국 해양환경 보전 의지 다져…'일로일로 선언문' 채택,2018.11.30,2
13,가짜·부적합 석유 적발업소 494곳…자영알뜰주유소 많아,2017.10.02,2
14,"농협, 석유 유통 개선으로 영농비 절감 '일석삼조'",2017.07.07,2
15,사활 걸린 TV토론…각 캠프 대비 총력전,2017.04.19,2
16,한-네덜란드 미래지향적 동반자 관계 격상…경제공동위 신설,2016.09.27,2
17,‘월미공원 흙’ 미 참전용사 기념공원 전달,2016.09.09,2
18,"외국인 직접투자, 1분기에도 증가세…전년比 19.3%↑",2016.04.04,2
19,"남동발전 굴푸르 수력사업, 우수 프로젝트상",2016.03.04,2
20,'맑은하늘' 서울은 전기車로…보조금 지원·인프라 구축 늘린다,2015.12.02,2
21,中 두바이유 큰손으로 떠오른 이유,2015.09.19,2
22,"정유 4사, 상반기 수도권 판매 휘발유·경유 최고등급",2015.08.12,2
23,"""전기차 온실가스 배출 휘발유차 절반 수준""",2015.06.25,2
24,"석유公, 재난대응 안전한국훈련 실시",2015.05.20,2
25,"최경환 ""사우디 포스트 오일 시대 최고 파트너는 한국""",2015.04.22,2
26,"수도권 자동차연료 환경품질등급 ""세계 최고""",2015.02.09,2
27,"윤상직 장관 ""에너지시장 급변…신사업에 적극 투자""",2015.01.22,2
28,"윤병세""2015년은 한국외교에서 중동의 해 될 것""",2014.12.22,2
29,"朴대통령, 사우디 경제ㆍ독일 외교장관 만나 협력방안 논의",2014.10.31,2
30,"가스公, 부산항만公 등 5개사와 LNG벙커링 합작회사 설립",2020.07.14,3
31,남성주(창원방향)주유소“석유품질인증 주유소 협약”,2020.07.02,3
32,"우리카드, 제주여행 특화 카드 출시…""5% 추가할인""",2020.06.30,3
33,"""정유업계 조세부담금 납부 추가유예 필요""",2020.06.26,3
34,"韓 대표 협업툴 ‘플로우’, 하나벤처스 등으로 부터 20억 투자 유치",2020.06.11,3
35,"나이스신평, SK이노베이션 등 4개 정유사 신용등급 '부정적'으로 하향",2020.06.01,3
36,"산업장관 ""석유公 비축시설 대여료인하 등 정유사 살릴 대책 마련""",2020.04.22,3
37,"정부, 전략비축유 구매 늘렸지만…""타이밍 아쉽다""",2020.04.10,3
38,항공·조선·車 기간산업 한계 상황인데…늑장 대책 '死월',2020.04.06,3
39,"성윤모 ""ESS 조사, 고민 많아…잘 보고 있다""",2020.01.21,3
40,"롯데카드, 차량유지비 절약카드 '아임 드라이빙' 출시",2019.12.18,3
41,[2019 국감]가짜석유·품질부적합 주유소 기승…SK·GS 등 대기업 80% 이상,2019.10.15,3
42,"SC제일은행, 시간대별 할인 혜택주는 신용카드 선보여",2019.09.06,3
43,"하나카드, ‘카카오T 하나카드’ 출시…카드사 최초",2019.08.09,3
44,알뜰주유소 6차년도 유류공급사 SK에너지·S-Oil 선정,2019.08.01,3
45,경부고속도로 죽전주유소 주유대기시간 줄인다,2019.07.15,3
46,"우리카드, 일본 여행 특화 ‘카드의정석 J.SHOPPING’ 출시",2019.06.28,3
47,"CJ제일제당 '백설 참진한 참기름', 국제 식음료 품평회서 우수 미각상 수상",2019.06.27,3
48,"韓, 사우디 왕세자 방한 계기 조선·車 등 83억 달러 규모 계약 체결",2019.06.26,3
49,"가스公, 中企 말레이시아 시장 진출 지원",2019.06.18,3
50,"산은·무역협회, '넥스트라이즈 2019 서울' 다음달 개최",2019.06.10,3
51,"CJ제일제당, ""유명 레스토랑에서 올리브유 활용법 배워요""…'올리브 오일 위크' 개최",2019.05.21,3
52,"세븐일레븐, 에스오일과 협력…'세븐일레븐 시그니처' 강서하이웨이주유소점 오픈",2019.03.10,3
53,"석유화학업계, 2035년까지 14.5조 설비투자…1700명 규모 일자리 창출",2018.12.03,3
54,동아시아 11개국 해양환경 보전 의지 다져…'일로일로 선언문' 채택,2018.11.30,3
55,"韓, 인도네시아·말레이시아와 자유무역협정 추진",2018.11.15,3
56,"석유公, 캐나다 '블랙골드 광구' 원유 판매 시작",2018.10.17,3
57,[브랜드가 경쟁력이다]래미안ㆍ롯데百ㆍSK에너지 소비자들 마음 속으로,2018.09.04,3
58,"하나카드, 온라인 전용 '태그원카드 네이비' 출시",2018.07.23,3
59,"우리카드, '카드의정석' 기업카드 3종 출시",2018.07.02,3
60,"김형 대우건설 사장, 현장경영 행보…울산서 직원들과 간담회",2018.06.27,3
61,"우리카드, '카드의 정석 디스카운드·쇼핑' 출시",2018.06.25,3
62,"백운규 장관, 사우디 에너지장관 면담…원전수주 의지 표명",2018.05.04,3
63,"국내 30대 기업 평균 연봉, 8300만원…남성이 3000만원 더 받아",2018.04.03,3
64,"우리카드, 중소법인 특화 '바른기업 포인트카드' 출시",2018.03.14,3
65,[금주의 금융상품]새 카드로 주유소 할인·편의점 쿠폰 '팍팍',2018.02.17,3
66,"신한카드, 정유사 선택해 주유비 할인받는 '딥오일 카드' 출시",2018.02.12,3
67,"석유업계, 2020년까지 고도화 환경 설비에 3조5000억 투자",2018.01.26,3
68,"NH농협카드, 내일배움카드 발급 대상에 산재 직업 훈련생 추가",2018.01.23,3
69,"씰리침대, 이중 스프링 기술 적용 ‘밀리(Milli)’ 매트리스 신제품 출시",2018.01.17,3
70,선주협회와 4대 정유사 '선박연료 공급 상생 협약',2017.11.24,3
71,"가스公, 중소기업 해외 판로개척 지원 앞장",2017.09.14,3
72,[포토]대산 첨단화학 특화단지 협력 업무협약 체결,2017.09.14,3
73,"백 장관 ""석유화학 업계, 첨단소재 개발해야""",2017.09.14,3
74,'반차' 내기 힘들면 '반반차'?…이색 휴가제도 눈길,2017.08.30,3
75,IT주에 가렸던 정유·통신주 '신고가' 랠리,2017.08.02,3
76,[특징주]정유株 국제유가 50달러 회복…동반 상승,2017.08.01,3
77,"정부, 물류산업 청년 취업·채용 지원",2017.07.23,3
78,"농협, 석유 유통 개선으로 영농비 절감 '일석삼조'",2017.07.07,3
79,"동부라이텍, 베트남 법인 설립…삼성전자 수요 대응",2017.06.15,3
80,"부산銀·경남銀, ‘BNK 2030플래티늄카드’ 출시",2017.05.31,3
81,[굿모닝 증시]지수 추가하락 제한적… 조정 때 '비중확대' 고려,2017.04.20,3
82,"[특징주]S-Oil, 정제 마진 개선·배당성장 기대…4%↑",2017.04.19,3
83,"신한카드, 신세계 전용 카드 출시…할인·포인트 혜택 '팍팍'",2017.03.30,3
84,"삼성카드, 개인사업자 특화 카드 출시…보험료 할인·부가세 환급서비스 혜택",2017.03.15,3
85,"가스공사, 이라크 가스배관사업 정산 완료",2017.03.14,3
86,"대기업 신용평가, 국내외 괴리 커…4.8등급 차이",2017.02.22,3
87,"신한카드, S-Oil 제휴 화물운전자 복지카드 출시",2017.02.21,3
88,30대 그룹 올 9월 만기 회사채 45조...8.2%↑,2017.02.01,3
89,"[바닥 찍은 조선]3대 환경규제, 올해 하반기 발주에 불 지핀다",2017.01.28,3
90,"산업부 장관 ""中 무역장벽, 품목별 대응 액션플랜 마련""",2017.01.23,3
91,"우리카드, “현대오일뱅크 주유시 리터당 100원 할인”",2017.01.16,3
92,"알 감디 에쓰오일 대표, 대규모 프로젝트 성공 다지며 ‘신년 산행’",2017.01.15,3
93,"현대카드, “화물차 유가보조금 카드 3종 출시…할인·적립 혜택은 덤”",2017.01.04,3
94,"거래소, '삼성 KODEX WTI 원유선물' ETF 27일 상장",2016.12.23,3
95,"KB국민은행, 증권대행 업무 위탁사 초청 워크숍",2016.12.02,3
96,"대우건설, 2년 연속 '아시아 지속가능성기업 랭킹' 등재",2016.10.11,3
97,'사랑의 송편 나누기'로 親韓 경영 나선 알 감디 에쓰오일 대표,2016.09.09,3
98,서울 신재생에너지 생산·거래량 늘었다,2016.08.22,3
99,"KEB하나은행, 개인사업자 위한 '하나멤버스 1Q카드 Business' 출시",2016.08.04,3
100,"삼성카드, '신세계 대구라이프 카드' 출시",2016.06.22,3
101,"하나금융그룹, 다이소와 업무제휴 체결",2016.06.21,3
102,기업은행 ‘IBK hi-pass&oil카드’ 출시,2016.06.07,3
103,"기업은행, 'IBK 하이패스&오일카드' 출시",2016.06.07,3
104,"신한카드, 쇼핑 특화 카드 출시…""온·오프 가맹점 결제시 10% 할인""",2016.06.05,3
105,"""쇼핑·주유·통신 모든 혜택 다 담았다""…하나카드, 1Q카드 올인 출시",2016.05.10,3
106,"삼성운용, 홍콩시장 최초 원유선물 ETF 상장",2016.05.02,3
107,"서울시, 대우조선해양 마곡부지 쪼개 판다",2016.04.27,3
108,"대상, 日 최대 정유기업 'JXNOE'에 아스타잔틴 공급",2016.04.06,3
109,"외국인 직접투자, 1분기에도 증가세…전년比 19.3%↑",2016.04.04,3
110,"남동발전 굴푸르 수력사업, 우수 프로젝트상",2016.03.04,3
111,'초저유가 발작'에 금융위기 트라우마까지..경제 살얼음판,2016.02.15,3
112,"정유株, 작년 4Q 호실적에 동반 강세…SK이노베이션 6%↑",2016.02.04,3
113,"S-Oil, 지난해 매출액 17조8900억원…37.4% 감소",2016.01.28,3
114,"S-Oil, 작년 4분기 흑자전환…영업이익 806억원",2016.01.28,3
115,"유가, 바닥권 진입하나…원유 팔자세 '금융위기' 수준",2016.01.25,3
116,"한샘이펙스, 사무용가구 대리점 사장단 간담회 개최",2016.01.15,3
117,국제유가 더 떨어진다는데…끄떡없는 정유株,2016.01.04,3
118,상장사 4Q 실적 전망치 하향 본격화…12월에만 4.1% ↓,2015.12.29,3
119,"동국제강, 철근에 브랜드를 입히다…'디코일' 도입",2015.12.23,3
120,"KDB대우證, 장한평·마포지점 16일 투자설명회",2015.12.15,3
121,"현대오일뱅크, 보너스카드 고객에 '카봇' 반값 할인이벤트",2015.12.15,3
122,"맥포머스, '오펜하임 토이 포트폴리오' 수상",2015.12.07,3
123,'맑은하늘' 서울은 전기車로…보조금 지원·인프라 구축 늘린다,2015.12.02,3
124,"에쓰오일, 日 스미토모 폴리프로필렌 제조기술 도입",2015.11.30,3
125,"SK에너지·우리카드, ℓ당 최대 400원 할인 카드 선봬",2015.11.30,3
126,철강가공 진출 vs 철수..두 商社의 엇갈린 행보,2015.11.26,3
127,"에쓰오일, 에너지 빈곤층에 100만원 상당 난방유 지원",2015.11.11,3
128,"씰리침대, 미국 직수입 매트리스 출시",2015.11.02,3
129,'대우조선 기술 적용' 세계 첫 LNG 컨테이너선 인도,2015.10.20,3
130,"G마켓, 온라인 최초 '한국타이어' 단독 입점",2015.10.19,3
131,"에쓰오일, 추석 맞아 저소득가정에 송편·선물꾸러미 전달",2015.09.25,3
132,"[골드메이커]폭풍 성장 ETN, 투자 전략은?",2015.09.15,3
133,현대오일뱅크 보너스카드로 파리바게트 40% 할인,2015.09.11,3
134,"신한카드, 독신 남성고객 타깃…'미스터라이프' 출시",2015.09.07,3
135,"에쓰오일, 에티오피아 아동교육 후원금 1억 전달",2015.09.01,3
136,"잘나가던 정유·화학업계, 웃음 거두나",2015.08.07,3
137,"[골드메이커]추락하는 국제유가, ETF투자는?",2015.08.06,3
138,"""광복 70년 축하""…에쓰오일, 사옥에 33m 대형 태극기 내걸어",2015.08.05,3
139,"경남은행, '부자되세요, 더 오일 카드' 출시",2015.08.03,3
140,"부산銀, 리터당 최대 150원 할인 '더 오일 카드' 출시",2015.08.03,3
141,"BC카드, 리터당 최대 150원 할인…'부자되세요 더 오일 카드' 출시",2015.08.03,3
142,"신한카드, 항공 마일리지 특화 상품 '에어' 출시",2015.08.02,3
143,[골드메이커]美 주식형 ETF 자금유입 ↑ 원자재 ETF 수익률 ↓,2015.07.28,3
144,"신한카드, 고객이 직접 혜택 선택하는 '4Tune' 체크카드 출시",2015.07.28,3
145,"[쿨비즈&쿨상품]S-OIL, 청바지·하와이언 티셔츠..출근복 OK",2015.07.23,3
146,"에쓰오일, 2Q 영업익 6130억…1분기 이어 흑자 유지",2015.07.22,3
147,부여장터에 부는 새 바람 ‘청년오일(OIL)장 in 부여’,2015.07.11,3
148,"에쓰오일, 주당 1100원 중간 현금배당 결정",2015.07.09,3
149,"하이마트, 2015 상반기 총결산 전국동시세일",2015.07.02,3
150,"삼성重, 잇따른 해양플랜트 수주…이번엔 5조 규모",2015.07.01,3
151,"혼다코리아, 여름맞이 고객 이벤트 눈길",2015.07.01,3
152,"삼성重, 올해 첫 해양플랜트 수주…1.2조원 규모",2015.06.30,3
153,"아가방 ""올 여름, 천연 선크림으로 보습까지 챙기세요""",2015.05.28,3
154,"신한카드, 실물 없는 모바일 단독 카드 6종 출시",2015.05.28,3
155,"기업은행, 포인트 카드 통합 ‘IBK-시럽카드’출시",2015.05.14,3
156,"기업은행, 포인트 혜택 하나로 모은  ‘IBK-Syrup카드’출시",2015.05.14,3
157,"S-OIL, 희귀질환 어린이들에 제주 가족여행 선물",2015.04.26,3
158,"펀드 매니저, 환매 압박에도 러브콜 보낸 종목은",2015.04.23,3
159,'S-Oil 최대주주' 아람코 이사진 방한…4년 만에 이사회 개최,2015.04.21,3
160,"KB국민카드, 에쓰오일 주요소와 '비컨 서비스' 시범 실시",2015.04.21,3
161,"S-OIL, 우수 주유소·충전소 '챔피언스클럽' 시상",2015.04.15,3
162,"[CEO연봉공개]나세르 알 마하셔 S-OIL 대표, 지난해 보수 6.5억",2015.03.31,3
163,"에쓰오일, 위기에 더 쓴다",2015.03.25,3
164,원유 ETF 바닥쳤나? 거래량 사상 최대,2015.03.19,3
165,히말라야 유용식물자원 활용 길 열렸다,2015.03.19,3
166,"청년오일(Oil)장, 부여상권에 기름을 붓다",2015.03.14,3
167,"S-Oil, 1조2000억 규모 공급계약 체결",2015.02.09,3
168,"하나카드, 모바일카드 결제시 최대 5000원 캐시백",2015.01.15,3
169,"[머니VIEWS]오일펀드, 몰빵보다 끊어 사라",2015.01.14,3
170,"NH농협카드,‘NH투자증권 CMA체크카드’출시",2015.01.06,3
171,"롯데카드, 자동차 관련 서비스 혜택 'MBA카드' 출시",2014.12.21,3
172,"'60弗 붕괴'…주저앉은 유가, 세계금융 비명",2014.12.12,3
173,"관세청, 국내 4대 정유사와 양해각서(MOU) 체결",2014.12.09,3
174,"하나SK카드, '모바일카드 오프라인 가맹점 캐쉬백' 이벤트",2014.11.13,3
175,"[2014 연비왕]""2년간 갈고 닦아 드디어 우승""",2014.11.08,3
176,"우리카드, 군인연금증카드 신규 발급 1만좌 달성",2014.10.29,3
177,휘발유 ℓ당 1826원… 9주째 하락,2014.09.06,3
178,"에쓰오일, ‘사랑의 송편나눔’ 봉사활동 진행",2014.09.03,3
179,하나SK카드·외환카드 공동 S-OIL주유소 모바일카드 결제 가능,2014.09.02,3
180,S-OIL 순직소방관 유자녀에 장학금 전달,2020.08.26,4
181,장마·코로나19에 한 숨 쉬는 정유업계,2020.08.23,4
182,"S-OIL, 집중호우로 구조 중 순직한 소방관 유족에 위로금",2020.08.20,4
183,"S-OIL 주유소, 모빌리티 공유 플랫폼으로 진화",2020.08.18,4
184,"포스코, 김환기·박수근·이중섭 모셨다…백년 기업이 만난 백년의 예술",2020.08.05,4
185,"S-OIL, 무디스 국제신용등급 ‘안정적’ 유지",2020.08.04,4
186,"다우, 친환경·저탄소 필름 포장재 '나노 바이오' 출시",2020.07.28,4
187,"네파, 사회공헌 통합채널 ‘맒뵀訝’ 구축",2020.07.27,4
188,"S-OIL, 2분기 적자 1643억으로 줄어…하반기 실적 개선 전망",2020.07.24,4
189,"[S-OIL 컨콜] ""3분기 평균 OSP 마이너스""",2020.07.24,4
190,"S-OIL, 2분기 영업손실 1643억‥전년비 81.5%↓(종합)",2020.07.24,4
191,"[S-OIL 컨콜] ""NCC 증설 일정 계획대로 진행될 것""",2020.07.24,4
192,"[S-OIL 컨콜] S-OIL ""재고평가손실 1700억원대로 축소…국제유가 상승 때문""",2020.07.24,4
193,"[속보] S-OIL, 2분기 영업손실 1643억…매출 3조4518억원",2020.07.24,4
194,"[속보] S-OIL, 2분기 영업손실 1643억…전년比 81.5% ↓",2020.07.24,4
195,"에쓰오일 알 카타니 CEO, 회사 주식 1000주 매입",2020.06.22,4
196,"현대오일뱅크, '공룡 캐릭터' 고급휘발유로 브랜드 경쟁력 강화",2020.05.29,4
197,"S-OIL, 청년 푸드트럭에 주유상품권 지급한다",2020.05.20,4
198,"S-OIL, 주유소 최초 카카오페이 결제 도입",2020.05.14,4
199,"S-Oil ""희망퇴직 규모 50명 미만…'팀면(免)' 제도 일환""",2020.05.14,4
200,"S-OIL, 주유소와 손잡고 지역 이웃돕는다",2020.05.13,4
201,5월 첫 주 정제마진 '-3.3달러'로 악화…공장 가동할수록 손실 커져,2020.05.11,4
202,"SK에너지·SK트레이딩인터, 미얀마에 코로나19 진단 키트 기부",2020.05.10,4
203,SK이노 '코로나 쇼크' 1분기 적자 1조7752억(종합),2020.05.06,4
204,"현대오일뱅크, 공룡 모티브 캐릭터 선보여",2020.05.04,4
205,정유업계 '악몽이 현실로'‥최악 '어닝쇼크',2020.04.28,4
206,"S-OIL, 1분기 1조원 적자",2020.04.27,4
207,"국내 휘발유 최저가, 1100원대 진입‥정유사 '어닝쇼크' 예고",2020.04.21,4
208,"S-OIL, 발달장애인 오케스트라 후원금 전달",2020.04.20,4
209,"S-Oil, 주요 공장 정기보수 진행",2020.04.16,4
210,"정제마진 4주 연속 마이너스…2014년 후 처음, 정유업계 2분기 실적 더 '캄캄'",2020.04.13,4
211,"""가뭄에 단비""‥정유4사 '눈치 싸움'",2020.04.10,4
212,항공·조선·車 기간산업 한계 상황인데…늑장 대책 '死월',2020.04.06,4
213,"숨넘어가는 정유업계‥""비축유라도 사달라""",2020.03.31,4
214,항공업發 자금난‥정유업까지 도미노,2020.03.27,4
215,"중화학 주총 키워드 ""컨트롤타워·구조조정 강화""",2020.03.20,4
216,"S-OIL, 가정폭력 피해 이주여성위해 기부금 전달",2020.03.11,4
217,"S-OIL, 코로나19 피해 지원 위해 5억원 기탁",2020.03.05,4
218,中 저유황유 세제 혜택으로 수출 독려…정유업계 선박연료 경쟁 치열해진다,2020.02.14,4
219,"S-OIL, 저소득가정 화재 피해 복구비 5000만원 전달",2020.02.05,4
220,'취임 8개월 동안 9차례'…사회공헌 적극적인 알 카타니 S-OIL 사장,2020.01.26,4
221,"S-OIL, 쪽방촌서 14년째 ‘설맞이 사랑의 떡국나눔’",2020.01.20,4
222,"S-OIL 청계산 신년산행 ‥알 카타니 ""성공 DNA, 원팀"" 강조",2020.01.12,4
223,12월 정제마진 -0.2…집계 후 월 평균 첫 마이너스 기록,2019.12.31,4
224,"S-OIL, 급여우수리로 희귀질환 어린이 치료비 지원",2019.12.18,4
225,"S-OIL, 이웃돕기 성금 20억 원 기부",2019.12.12,4
226,"LG상사 투자 발전회사 오만 증시 상장…""가동 2년만에 투자금 회수""",2019.12.09,4
227,'디자인'과 '공원'이 항공기 소음 줄인다?,2019.12.05,4
228,"GS칼텍스,2020년 임원인사 실시…허주홍 상무보 승진",2019.12.03,4
229,120만 대체거래선 정보로 日수출규제 뚫는다,2019.11.28,4
230,"S-OIL, 위기에 처한 이웃 구한 '올해의 시민영웅 시상식' 개최",2019.11.25,4
231,"S-OIL, 주유 고객 60만명에게 경품 행사 진행",2019.11.13,4
232,'사회적 영웅' 찾는 S-OIL…국가 지원 약한 기관 우선 후원,2019.11.10,4
233,"S-OIL 임직원, ‘사랑의 연탄나누기’ 봉사활동",2019.11.05,4
234,"S-OIL, 해외대회 참가 장애인 ‘감동의 마라톤’ 발대식",2019.10.31,4
235,"정유업계, 2분기 연속 수출 물량 ↓…6년 만에 석유제품 수출 증가세 'STOP'",2019.10.24,4
236,"S-OIL, 국내 정유사 최초로 10년 연속 DJSI(다우존스 지속가능경영) 선정",2019.10.23,4
237,[과학을읽다]항공기는 브레이크만으로 못 세운다?,2019.10.23,4
238,"현대오일뱅크, 초유황선박유 공정 특허 출원으로 IMO 2020 선제 대응",2019.10.21,4
239,[2019 국감]가짜석유·품질부적합 주유소 기승…SK·GS 등 대기업 80% 이상,2019.10.15,4
240,"S-OIL, 마포 인재육성 장학재단에 장학금 전달",2019.10.11,4
241,"S-Oil, 장애 청소년에 학습용 맞춤 보조기구 지원",2019.09.26,4
242,"정유업계, 2년 육아휴직 남성 처음 나와",2019.09.20,4
243,순직소방관 연평균 5명...S-Oil이 소방관 돕는 까닭,2019.09.14,4
244,원유 수입해 '화학' 사업으로 돈 버는 정유사들,2019.09.01,4
245,[과학을읽다]원유를 가열하면 남는 것은?,2019.08.29,4
246,"S-OIL, 故 석원호 지방소방장 유족에게 위로금 3000만원 전달",2019.08.09,4
247,"에쓰오일, 보육원 청소년 학업 지원 3억3000만원 전달",2019.08.08,4
248,[과학을읽다]'방수·발수·워터프루프'의 차이는?,2019.08.08,4
249,알뜰주유소 6차년도 유류공급사 SK에너지·S-Oil 선정,2019.08.01,4
250,"S-OIL, 2019년 2Q 영업손실 905억원…'어닝쇼크' 기록",2019.07.24,4
251,"007시리즈 본드카 '애스턴마틴 발할라' 국내 공개, 가격은?",2019.07.24,4
252,"SK이노베이션, 미얀마 2위 석유유통그룹 지분 35% 인수…1500억원 투자",2019.07.19,4
253,"대한석유협회, '화학물질 공동등록 컨소시엄' 발족",2019.07.16,4
254,"현대차 i30 N TCR, 세계 투어링카 대회 WTCR 6라운드서 우승",2019.07.08,4
255,"석유화학기업으로 우뚝선 S-OIL, 5조 투자 이어 7조 추가 투자",2019.06.26,4
256,"현대차 고성능N 라인업, 24시간 내구 레이스 완주 성공",2019.06.24,4
257,"가스公, 中企 말레이시아 시장 진출 지원",2019.06.18,4
258,"S-OIL, 순직 해양경찰관 유자녀에게 장학금 5000만원 전달",2019.06.18,4
259,[기업이 뛴다]서식지 정화 등 멸종위기 천연기념물 지킴이,2019.06.14,4
260,S-OIL 신임 CEO에 후세인 에이 알-카타니,2019.06.13,4
261,"S-OIL, '세계 환경의 날' 맞아 생태보호 위해 2억5000만원 전달",2019.06.04,4
262,"S-OIL, 교통사고 피해 화물차 운전자 자녀에게 장학금 5000만원 전달",2019.05.31,4
263,게임·SNS에서도 '어벤져스: 엔드게임' 효과,2019.05.05,4
264,"S-OIL, '달리는 응급실' 닥터카에 1억원 후원",2019.04.30,4
265,"S-OIL, '2019 S-OIL 챔피언스 클럽' 시상식 개최",2019.04.24,4
266,"S-OIL, 2019년 1Q 영업이익 2704억원 기록…전년比 6.2% ↑",2019.04.24,4
267,"정유업계, 역대 1분기 최고 수출물량 기록",2019.04.24,4
268,[과학을읽다]하수·폐수도 모으면 에너지 된다?,2019.04.23,4
269,"S-OIL, 장애인 '감동의 마라톤' 대회 개최",2019.04.21,4
270,"""나도 화사처럼 트러플 오일로 요리""…백화점 트러플 판매 28%↑",2019.04.09,4
271,"현대차 고성능 경주차 'i30 N TCR', 2019 WTCR 개막전서 우승",2019.04.08,4
272,"S-OIL, 한국사회복지협의회에 기부금 3억3000만원 전달",2019.04.03,4
273,"롯데멤버스 ""세븐일레븐과 손잡고 '제3인터넷전문은행' 도전""",2019.03.27,4
274,"주한 미군 유류납품 담합 에쓰오일 ""매우 유감…재발방지 모든 노력 다할 것""",2019.03.21,4
275,"'주한미군 유류담합' 에쓰오일·현대오일, 1억2000만 달러 벌금 '철퇴'",2019.03.21,4
276,"S-OIL, 서울시 사회복지협의회에 1억3700만원 기부금 전달",2019.03.15,4
277,"S-OIL, 문화예술 후원금 2억2000만원 기탁",2019.03.13,4
278,[프로필]강민수 S-OIL 부사장(경영전략본부장),2019.03.11,4
279,[인사]S-OIL,2019.03.11,4
280,"S-OIL, 국내 주유소 최초 스마트 무인편의점 열어",2019.03.10,4
281,유가 3주째 상승…기름값 공포 시작되나,2019.03.09,4
282,"""기름값 내릴땐 '찔끔', 오를땐 '확'""…기름값 상승 우려 ↑",2019.03.07,4
283,"S-OIL, 가정폭력 피해 이주여성 후원금 7000만원 전달",2019.03.06,4
284,"KT, 5G로 영화 '킹스맨'의 '홀로그램 회의' 구현했다",2019.03.05,4
285,"S-OIL, 저소득가정 화재피해복구에 5000만원 전달",2019.02.20,4
286,"삼성엔지니어링, 작년 순이익 702억원…흑자 전환",2019.01.31,4
287,"S-OIL, '설날맞이 사랑의 떡국 나누기' 봉사활동 진행",2019.01.30,4
288,"일진그룹, 말레이시아 공장 준공…해외 첫 일렉포일 양산 시작",2019.01.27,4
289,"정유업계, 석유제품 수출량 사상최대 경신…5년 연속",2019.01.23,4
290,[부고] 윤무영 S-OIL 전무 모친상,2019.01.18,4
291,"오스만 알 감디 에쓰오일 CEO 임직원들과 산행…""변화 속에서 기회 찾아야""",2019.01.13,4
292,"'정유株 추락' 현대오일, 올해 IPO 물건너가나",2019.01.03,4
293,"에쓰오일, '올해의 영웅 해양경찰' 6명 시상",2018.12.23,4
294,[프로필]김종인 롯데자이언츠 대표이사,2018.12.20,4
295,"삼성전자 생활가전, 유럽서 최고 제품으로 잇따라 선정",2018.12.16,4
296,미래 모빌리티 선점하자…SK그룹 잇딴 투자,2018.12.08,4
297,[인사]SK그룹,2018.12.06,4
298,"석유화학업계, 2035년까지 14.5조 설비투자…1700명 규모 일자리 창출",2018.12.03,4
299,동아시아 11개국 해양환경 보전 의지 다져…'일로일로 선언문' 채택,2018.11.30,4
300,"SK㈜, 전기車 배터리 핵심부품 업체 '왓슨' 지분 2700억원 규모 인수",2018.11.27,4
301,"S-OIL, 부상소방관에게 치료비 6000만원 전달",2018.11.21,4
302,"S-OIL, ""좋은기름 넣고 경품받아 가세요""",2018.11.15,4
303,"에쓰오일, 빈곤 가정 난방유 지원 '2억원 기부'",2018.11.14,4
304,에쓰오일 연탄 6만장 기부+배달 봉사활동,2018.11.09,4
305,"정유사 효자 파라자일렌, 내년에도 호황 이어지나",2018.11.04,4
306,에쓰오일 교통사고 피해 화물차 운전자 자녀들에게 장학금,2018.10.31,4
307,"카카오페이 멤버십, 가입자 500만 돌파",2018.10.30,4
308,"석유업계 공동성명 ""정부 유류세 인하에 적극 협조""",2018.10.30,4
309,에쓰오일 3분기 영업이익 42% 뚝,2018.10.26,4
310,에쓰오일 3분기 영업익 42.9% 감소 '정유·윤활기유 급감'(상보),2018.10.26,4
311,3분기 석유제품 수출물량 '3년만에 사상최대치 경신',2018.10.23,4
312,에쓰오일 ‘장애인 감동의 마라톤’ 선수단 발대식,2018.10.18,4
313,"에쓰오일, 소외이웃 돕는 푸드뱅크 차량에 유류비 지원",2018.10.11,4
314,"""AI가 영어 발음 채점…교육시장 저비용 구조로 바꾼다""",2018.10.08,4
315,"에쓰오일, 보세화물 운송차량 운전자 지원 MOU",2018.10.05,4
316,'파라자일렌 폭등' 정유업계 3분기 실적 버팀목,2018.09.24,4
